Ln Returns to March 2018,Aviva Inv Euro Equity MoM 2
Mar-18,-0.00003803
Feb-18,-0.03819418
Jan-18,0.01630135
Dec-17,0.03883332
Nov-17,-0.04670570
Oct-17,0.02619269
Sep-17,-0.02803127
Aug-17,0.01070680
Jul-17,0.03416893
Jun-17,-0.05580731
May-17,-0.00654413
Apr-17,-0.01652051
Mar-17,0.04280041
Feb-17,-0.01833085
Jan-17,-0.01689319
Dec-16,0.09877353
Nov-16,-0.10586937
Oct-16,0.02987083
Sep-16,-0.00931004
Aug-16,-0.03471414
Jul-16,0.03818570
Jun-16,0.01059469
May-16,0.03824622
Apr-16,-0.04690369
Mar-16,0.00170083
Feb-16,0.01159957
Jan-16,-0.01043852
Dec-15,-0.00628388
Nov-15,0.00555900
Oct-15,0.02724310
Sep-15,0.01881537
Aug-15,-0.06644955
Jul-15,0.07509425
Jun-15,-0.02208551
May-15,-0.00756762
Apr-15,-0.00359990
